"ref","ISO_1"
"A23","AU-ACT"
"A25","AU-ACT"
"B52","AU-ACT"
"M23","AU-ACT"
NULL,"AU-ACT"
"10","AU-NSW"
"11","AU-NSW"
"12","AU-NSW"
"14","AU-NSW"
"16","AU-NSW"
"17","AU-NSW"
"2","AU-NSW"
"22","AU-NSW"
"24","AU-NSW"
"24;28","AU-NSW"
"31","AU-NSW"
"6","AU-NSW"
"8","AU-NSW"
"9","AU-NSW"
"A1","AU-NSW"
"A15","AU-NSW"
"A15;A37","AU-NSW"
"A15;B56","AU-NSW"
"A15;B76","AU-NSW"
"A1;A38","AU-NSW"
"A1;A43","AU-NSW"
"A1;B68","AU-NSW"
"A2","AU-NSW"
"A20","AU-NSW"
"A20;A41","AU-NSW"
"A20;B87","AU-NSW"
"A22","AU-NSW"
"A25","AU-NSW"
"A28","AU-NSW"
"A28;A40","AU-NSW"
"A3","AU-NSW"
"A32","AU-NSW"
"A32;B79","AU-NSW"
"A32;B87","AU-NSW"
"A34","AU-NSW"
"A36","AU-NSW"
"A37","AU-NSW"
"A38","AU-NSW"
"A39","AU-NSW"
"A39;A20","AU-NSW"
"A39;B55","AU-NSW"
"A39;B58","AU-NSW"
"A39;B64","AU-NSW"
"A39;B94","AU-NSW"
"A4","AU-NSW"
"A40","AU-NSW"
"A41","AU-NSW"
"A41;B81","AU-NSW"
"A41;B94","AU-NSW"
"A43","AU-NSW"
"A43;B63","AU-NSW"
"A44","AU-NSW"
"A48","AU-NSW"
"A48;14","AU-NSW"
"A48;8","AU-NSW"
"A48;8;15","AU-NSW"
"A48;B73","AU-NSW"
"A49","AU-NSW"
"A6","AU-NSW"
"A79","AU-NSW"
"A8","AU-NSW"
"A9","AU-NSW"
"A9;12","AU-NSW"
"B12","AU-NSW"
"B23","AU-NSW"
"B51","AU-NSW"
"B51;25","AU-NSW"
"B51;B56","AU-NSW"
"B52","AU-NSW"
"B53","AU-NSW"
"B55","AU-NSW"
"B55;A","AU-NSW"
"B55;B76","AU-NSW"
"B55;B84","AU-NSW"
"B56","AU-NSW"
"B56;10","AU-NSW"
"B56;21","AU-NSW"
"B56;8","AU-NSW"
"B57","AU-NSW"
"B57;B89","AU-NSW"
"B58","AU-NSW"
"B59","AU-NSW"
"B60","AU-NSW"
"B60;24","AU-NSW"
"B60;30","AU-NSW"
"B60;B91","AU-NSW"
"B62","AU-NSW"
"B62;24","AU-NSW"
"B62;24;28","AU-NSW"
"B63","AU-NSW"
"B64","AU-NSW"
"B64;B87","AU-NSW"
"B65","AU-NSW"
"B68","AU-NSW"
"B69","AU-NSW"
"B70","AU-NSW"
"B71","AU-NSW"
"B72","AU-NSW"
"B72;6","AU-NSW"
"B72;B23","AU-NSW"
"B73","AU-NSW"
"B73;14","AU-NSW"
"B73;15","AU-NSW"
"B73;7;8","AU-NSW"
"B73;8","AU-NSW"
"B74","AU-NSW"
"B75","AU-NSW"
"B76","AU-NSW"
"B76;B91","AU-NSW"
"B78","AU-NSW"
"B78;17","AU-NSW"
"B79","AU-NSW"
"B81","AU-NSW"
"B82","AU-NSW"
"B83","AU-NSW"
"B84","AU-NSW"
"B84;27","AU-NSW"
"B85","AU-NSW"
"B87","AU-NSW"
"B88","AU-NSW"
"B89","AU-NSW"
"B91","AU-NSW"
"B91;22","AU-NSW"
"B94","AU-NSW"
"B94;B85","AU-NSW"
"B95","AU-NSW"
"B95;3","AU-NSW"
"B95;5","AU-NSW"
"BMD","AU-NSW"
"M1","AU-NSW"
"M11","AU-NSW"
"M15","AU-NSW"
"M2","AU-NSW"
"M23","AU-NSW"
"M31","AU-NSW"
"M4","AU-NSW"
"M5","AU-NSW"
"M7","AU-NSW"
"M8","AU-NSW"
"MR 694","AU-NSW"
NULL,"AU-NSW"
"1","AU-NT"
"2","AU-NT"
"6","AU-NT"
"66","AU-NT"
"A1","AU-NT"
"A15","AU-NT"
"A36","AU-NT"
"A4","AU-NT"
"A87","AU-NT"
"B20","AU-NT"
"B4","AU-NT"
"B96","AU-NT"
"C12","AU-NT"
"C24","AU-NT"
"C4","AU-NT"
"C5","AU-NT"
"C80","AU-NT"
NULL,"AU-NT"
"1","AU-QLD"
"10","AU-QLD"
"100","AU-QLD"
"10;23","AU-QLD"
"11","AU-QLD"
"11;70","AU-QLD"
"12","AU-QLD"
"13","AU-QLD"
"13;16","AU-QLD"
"13;30","AU-QLD"
"13;90","AU-QLD"
"14","AU-QLD"
"15","AU-QLD"
"1;52","AU-QLD"
"15;40","AU-QLD"
"15;43","AU-QLD"
"17","AU-QLD"
"1;83","AU-QLD"
"2","AU-QLD"
"20","AU-QLD"
"20;33","AU-QLD"
"21","AU-QLD"
"21;30","AU-QLD"
"21;45","AU-QLD"
"21;47","AU-QLD"
"22","AU-QLD"
"22;30","AU-QLD"
"22;40","AU-QLD"
"22;46","AU-QLD"
"22;9","AU-QLD"
"22;95","AU-QLD"
"23","AU-QLD"
"23;43","AU-QLD"
"24","AU-QLD"
"24;20","AU-QLD"
"25","AU-QLD"
"26","AU-QLD"
"26;20","AU-QLD"
"26;27","AU-QLD"
"26;71","AU-QLD"
"27","AU-QLD"
"27;40","AU-QLD"
"28","AU-QLD"
"29","AU-QLD"
"3","AU-QLD"
"30","AU-QLD"
"30;43","AU-QLD"
"30;44","AU-QLD"
"31","AU-QLD"
"32","AU-QLD"
"33","AU-QLD"
"35","AU-QLD"
"36","AU-QLD"
"37","AU-QLD"
"37;C&C","AU-QLD"
"38","AU-QLD"
"38;C&C","AU-QLD"
"39","AU-QLD"
"4","AU-QLD"
"40","AU-QLD"
"41","AU-QLD"
"42","AU-QLD"
"42;Alt89","AU-QLD"
"43","AU-QLD"
"44","AU-QLD"
"44;54","AU-QLD"
"44;91","AU-QLD"
"45","AU-QLD"
"46","AU-QLD"
"47","AU-QLD"
"48","AU-QLD"
"48;12","AU-QLD"
"49","AU-QLD"
"5","AU-QLD"
"50","AU-QLD"
"50;95","AU-QLD"
"51","AU-QLD"
"51;42","AU-QLD"
"52","AU-QLD"
"54","AU-QLD"
"55","AU-QLD"
"57","AU-QLD"
"57;12","AU-QLD"
"58","AU-QLD"
"58;29","AU-QLD"
"6","AU-QLD"
"60","AU-QLD"
"60;ACW","AU-QLD"
"61","AU-QLD"
"62","AU-QLD"
"6;24","AU-QLD"
"62;C&C","AU-QLD"
"63","AU-QLD"
"7","AU-QLD"
"70","AU-QLD"
"71","AU-QLD"
"74","AU-QLD"
"75","AU-QLD"
"75;ACW","AU-QLD"
"7;60","AU-QLD"
"77","AU-QLD"
"79","AU-QLD"
"8","AU-QLD"
"80","AU-QLD"
"80;4","AU-QLD"
"80;C&C","AU-QLD"
"81","AU-QLD"
"82","AU-QLD"
"83","AU-QLD"
"83;12","AU-QLD"
"83;84","AU-QLD"
"83;A2","AU-QLD"
"84","AU-QLD"
"85","AU-QLD"
"85;29","AU-QLD"
"86","AU-QLD"
"86;12","AU-QLD"
